web-scraper-order,web-scraper-start-url,champion,champion-href,Counters,Countered
"1515286637-1406","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Lee Sin","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/LeeSin/","Ezreal",""
"1515286609-1345","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Lulu","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Lulu/","","Alistar"
"1515287010-2301","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Blitzcrank","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Blitzcrank/","","Braum"
"1515287001-2270","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Brand","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Brand/","Kassadin",""
"1515286289-626","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Syndra","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Syndra/","","TwistedFate"
"1515286588-1311","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Malphite","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Malphite/","","Vladimir"
"1515286985-2239","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Caitlyn","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Caitlyn/","Kalista",""
"1515286096-242","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Volibear","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Volibear/","Nocturne",""
"1515286733-1663","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Jinx","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Jinx/","Varus",""
"1515286957-2156","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Darius","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Darius/","","Vayne"
"1515286134-347","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Vayne","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Vayne/","Varus",""
"1515286434-930","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Rek'Sai","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/RekSai/","","Udyr"
"1515287029-2329","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Azir","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Azir/","Syndra",""
"1515286322-701","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Skarner","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Skarner/","","Kayn"
"1515286657-1463","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Kled","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Kled/","Akali",""
"1515286509-1092","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Nunu","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Nunu/","","Jayce"
"1515286761-1738","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Jarvan IV","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/JarvanIV/","","Shyvana"
"1515286170-403","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Udyr","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Udyr/","Khazix",""
